sample	sex	population	population_name	superpopulation	superpopulation_name
Altais-1	M	AAL	Altaian from Siberia	CAS	Central Asian and Siberian Ancestry
Altais-2	M	AAL	Altaian from Siberia	CAS	Central Asian and Siberian Ancestry
Bashkirs-1	M	BAS	Bashkir from Central Asia	CAS	Central Asian and Siberian Ancestry
Bashkirs-2	M	BAS	Bashkir from Central Asia	CAS	Central Asian and Siberian Ancestry
Bashkirs-3	M	BAS	Bashkir from Central Asia	CAS	Central Asian and Siberian Ancestry
Buryats-1	M	BUR	Buryat from Siberia	CAS	Central Asian and Siberian Ancestry
Buryats-2	M	BUR	Buryat from Siberia	CAS	Central Asian and Siberian Ancestry
Dungan-1	M	DUN	Dungan from Central Asia	CAS	Central Asian and Siberian Ancestry
Dungan-2	M	DUN	Dungan from Central Asia	CAS	Central Asian and Siberian Ancestry
Hazaras-1	M	HAZ	Hazara from Central Asia	CAS	Central Asian and Siberian Ancestry
Hazaras-2	M	HAZ	Hazara from Central Asia	CAS	Central Asian and Siberian Ancestry
Hazaras-3	M	HAZ	Hazara from Central Asia	CAS	Central Asian and Siberian Ancestry
IrtyshBarabinskTatars-1	M	IBT	Tatar from Irtysh Barabinsk, Siberia	CAS	Central Asian and Siberian Ancestry
IrtyshBarabinskTatars-2	M	IBT	Tatar from Irtysh Barabinsk, Siberia	CAS	Central Asian and Siberian Ancestry
Kalmyks-1	M	KLM	Kalmyk from Central Asia	CAS	Central Asian and Siberian Ancestry
Kalmyks-2	M	KLM	Kalmyk from Central Asia	CAS	Central Asian and Siberian Ancestry
Karakalpaks-1	M	KKP	Karakalpak from Central Asia	CAS	Central Asian and Siberian Ancestry
Karakalpaks-2	M	KKP	Karakalpak from Central Asia	CAS	Central Asian and Siberian Ancestry
Karakalpaks-3	M	KKP	Karakalpak from Central Asia	CAS	Central Asian and Siberian Ancestry
Kazakhs-1	M	KZK	Kazakh from Kazakhstan	CAS	Central Asian and Siberian Ancestry
Kazakhs-2	M	KZK	Kazakh from Kazakhstan	CAS	Central Asian and Siberian Ancestry
Kazakhs-3	M	KZK	Kazakh from Kazakhstan	CAS	Central Asian and Siberian Ancestry
Kyrgyz-1	M	KRG	Kyrgyz from Kyrgyzstan	CAS	Central Asian and Siberian Ancestry
Kyrgyz-2	M	KRG	Kyrgyz from Kyrgyzstan	CAS	Central Asian and Siberian Ancestry
Tajiks-1	M	TAJ	Tajik from Tajikistan	CAS	Central Asian and Siberian Ancestry
Tajiks-2	M	TAJ	Tajik from Tajikistan	CAS	Central Asian and Siberian Ancestry
Tajiks-3	M	TAJ	Tajik from Tajikistan	CAS	Central Asian and Siberian Ancestry
Teleuts-1	M	TEL	Teleut from Siberia	CAS	Central Asian and Siberian Ancestry
Teleuts-2	M	TEL	Teleut from Siberia	CAS	Central Asian and Siberian Ancestry
TomskTatars-1	M	TTT	Tatar from Tomsk, Siberia	CAS	Central Asian and Siberian Ancestry
TomskTatars-2	M	TTT	Tatar from Tomsk, Siberia	CAS	Central Asian and Siberian Ancestry
Turkmens-1	M	TKM	Turkmen from Turkmenistan	CAS	Central Asian and Siberian Ancestry
Turkmens-2	M	TKM	Turkmen from Turkmenistan	CAS	Central Asian and Siberian Ancestry
Uyghurs-1	M	UGH	Uyghur from Central Asia	CAS	Central Asian and Siberian Ancestry
Uyghurs-2	M	UGH	Uyghur from Central Asia	CAS	Central Asian and Siberian Ancestry
Uyghurs-3	M	UGH	Uyghur from Central Asia	CAS	Central Asian and Siberian Ancestry
Uzbeks-1	M	UZB	Uzbek from Uzbekistan	CAS	Central Asian and Siberian Ancestry
Uzbeks-2	M	UZB	Uzbek from Uzbekistan	CAS	Central Asian and Siberian Ancestry
Uzbeks-3	M	UZB	Uzbek from Uzbekistan	CAS	Central Asian and Siberian Ancestry
VolgaTatars-1	M	VTT	Tatar from Volga Region	CAS	Central Asian and Siberian Ancestry
VolgaTatars-2	M	VTT	Tatar from Volga Region	CAS	Central Asian and Siberian Ancestry
